AC005208.1	12.21019961	5.47877147	8.397447395	0	0	0
GPC4	11.10018146	10.95754294	3.598906026	0	0	0
XIRP1	11.10018146	6.261453109	8.397447395	0	0	0
CASP5	3.330054439	12.52290622	9.597082737	0	0	0
AC016717.2	235.323847	235.5871732	214.7347262	4.953127943	6.582224447	3.011721076
SEMA3E	66.60108878	71.22402911	46.78577834	0	4.388149631	0
GP6	73.26119766	68.09330256	82.7748386	3.302085295	0	1.003907025
SEMA3C	13.32021776	17.21899605	17.99453013	0.825521324	0	0
RGPD6	9.990163317	5.47877147	9.597082737	0	0	0
AC117503.4	5.550090732	11.74022458	7.197812053	0	0	0
LINC01832	6.660108878	12.52290622	4.798541368	0	0	0
AC084083.1	2.220036293	11.74022458	9.597082737	0	0	0
CCDC85A	8.880145171	18.00167769	19.19416547	0	1.097037408	0
AD000813.1	6.660108878	8.609498024	8.397447395	0	0	0
TMPRSS2	7.770127024	6.261453109	9.597082737	0	0	0
ZNF728	14.4302359	7.826816386	1.199635342	0	0	0
ADGRA2	6.660108878	7.044134747	9.597082737	0	0	0
THSD7B	29.97048995	23.48044916	28.79124821	0.825521324	0	1.003907025
COL16A1	54.39088917	63.39721272	41.98723697	3.302085295	0	0
AC105206.3	6.660108878	10.95754294	4.798541368	0	0	0
LINC02284	5.550090732	3.913408193	13.19598876	0	0	0
SYT16	12.21019961	3.130726554	7.197812053	0	0	0
PIWIL4	5.550090732	4.696089831	11.99635342	0	0	0
INSL4	21.09034478	25.82849407	29.99088355	1.651042648	0	0
APBB1IP	5.550090732	7.826816386	8.397447395	0	0	0
AC090826.3	6.660108878	7.826816386	7.197812053	0	0	0
AC007204.1	5.550090732	5.47877147	10.79671808	0	0	0
Z85996.2	7.770127024	5.47877147	8.397447395	0	0	0
SOHLH1	12.21019961	2.348044916	7.197812053	0	0	0
CACNA2D3	9.990163317	5.47877147	5.99817671	0	0	0
LY96	13.32021776	12.52290622	15.59525945	0	1.097037408	0
AC005486.1	12.21019961	8.609498024	0	0	0	0
PIFO	23.31038107	10.95754294	5.99817671	0	0	1.003907025
LRRN4	197.58323	223.064267	275.9161287	10.73177721	5.485187039	1.003907025
AC130888.1	5.550090732	5.47877147	9.597082737	0	0	0
CASQ2	12.21019961	4.696089831	3.598906026	0	0	0
AC008708.2	48.84079844	57.13575962	41.98723697	0	3.291112223	1.003907025
GALNT6	5.550090732	8.609498024	5.99817671	0	0	0
AC008957.3	0	7.044134747	13.19598876	0	0	0
AC002074.1	7.770127024	8.609498024	3.598906026	0	0	0
EFCAB14-AS1	6.660108878	6.261453109	7.197812053	0	0	0
CXCL9	7.770127024	6.261453109	5.99817671	0	0	0
BPIFA2	3.330054439	7.044134747	9.597082737	0	0	0
AC022126.1	75.48123395	71.22402911	71.97812053	0	4.388149631	2.00781405
FAM71F1	12.21019961	13.30558786	13.19598876	0	0	1.003907025
OVAAL	9.990163317	6.261453109	3.598906026	0	0	0
AC018781.1	11.10018146	6.261453109	2.399270684	0	0	0
AC008040.1	47.73078029	85.3122986	82.7748386	0	1.097037408	5.019535126
SLC5A4	1.110018146	7.826816386	10.79671808	0	0	0
